banner_width,banner_height,inventory_source,hour_of_day_utc,value
320,480,APP_LOVIN,4,0.350310315456963
320,480,APP_LOVIN,5,0.3341066527753038
320,480,APP_LOVIN,6,0.36594952539445846
320,480,APP_LOVIN,7,0.31635289120861304
320,480,APP_LOVIN,8,0.28309729782324516
320,480,APP_LOVIN,9,0.3017842462356379
320,480,APP_LOVIN,10,0.2762805240889081
320,480,APP_LOVIN,11,0.2725294986144194
320,480,APP_LOVIN,12,0.3373262686394171
320,480,APP_LOVIN,13,0.338824950605277
320,480,APP_LOVIN,14,0.5634954488032181
320,480,APP_LOVIN,15,0.6339374178807154
320,480,APP_LOVIN,16,0.7561890863164816
320,480,APP_LOVIN,17,0.5846928777330221
320,480,APP_LOVIN,18,0.6642853330208037
320,480,APP_LOVIN,19,0.6382403977622793
320,480,APP_LOVIN,20,0.3672657526492583
320,480,APP_LOVIN,21,0.3849485072969157
320,480,MILLENNIAL,5,0.2083418440672784
320,480,MILLENNIAL,6,0.2948094764430386
320,480,MILLENNIAL,12,0.15327326566500538
320,480,MILLENNIAL,13,0.22727531491531208
320,480,MILLENNIAL,15,0.3113952248544474
320,480,MILLENNIAL,16,0.2929648371004806
320,480,MILLENNIAL,17,0.4948318999541424
320,480,MILLENNIAL,18,0.46227974967799124
320,480,MILLENNIAL,19,0.41383972501881555
320,480,MILLENNIAL,20,0.2555776605213779
320,480,MILLENNIAL,21,0.16493673587576638
320,480,MOPUB,4,0.36300860969751625
320,480,MOPUB,5,0.3522364536792328
320,480,MOPUB,6,0.3303094394688283
320,480,MOPUB,7,0.32868682709164376
320,480,MOPUB,8,0.32358691884531404
320,480,MOPUB,9,0.29686692859188313
320,480,MOPUB,10,0.2936042429960172
320,480,MOPUB,11,0.2785404566357138
320,480,MOPUB,12,0.35242466866629163
320,480,MOPUB,13,0.3959238177741934
320,480,MOPUB,14,0.465851983564956
320,480,MOPUB,15,0.5687504894917775
320,480,MOPUB,16,0.5239297540911639
320,480,MOPUB,17,0.40313656729117564
320,480,MOPUB,18,0.42370152515817655
320,480,MOPUB,19,0.4576326433984836
320,480,MOPUB,20,0.24505062371063083
320,480,MOPUB,21,0.20581054170686267
480,320,APP_LOVIN,4,0.29104671624454
480,320,APP_LOVIN,5,0.29313146131079887
480,320,APP_LOVIN,6,0.31211387287316983
480,320,APP_LOVIN,7,0.19535907698890848
480,320,APP_LOVIN,8,0.28650649797622235
480,320,APP_LOVIN,9,0.24084951841548108
480,320,APP_LOVIN,10,0.31891723731616384
480,320,APP_LOVIN,11,0.22074420075883244
480,320,APP_LOVIN,12,0.2391962432051188
480,320,APP_LOVIN,13,0.32640432954761395
480,320,APP_LOVIN,15,0.5641681088192839
480,320,APP_LOVIN,16,0.5833112676792729
480,320,APP_LOVIN,17,0.39568952072250024
480,320,APP_LOVIN,18,0.48208450887096255
480,320,APP_LOVIN,19,0.45554345993000656
480,320,APP_LOVIN,20,0.31841719527000234
480,320,APP_LOVIN,21,0.35834919439201224
480,320,MOPUB,4,0.3485687123496578
480,320,MOPUB,5,0.3129229615397935
480,320,MOPUB,6,0.21590933413203792
480,320,MOPUB,7,0.2863466669378488
480,320,MOPUB,8,0.2750340927592326
480,320,MOPUB,9,0.33144628312038027
480,320,MOPUB,10,0.24999408895329633
480,320,MOPUB,11,0.24219700337027306
480,320,MOPUB,12,0.33662180362919003
480,320,MOPUB,13,0.408624551004796
480,320,MOPUB,14,0.4795961068108268
480,320,MOPUB,15,0.6101269182725716
480,320,MOPUB,16,0.6277975629388819
480,320,MOPUB,17,0.424430964534464
480,320,MOPUB,18,0.519461906845132
480,320,MOPUB,19,0.502831036715393
