banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,20,0.1786314105108297
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,21,0.33289109897318764
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,10,0.1791755941617651
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,11,0.23481508964880005
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,12,0.2707916855464038
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,13,0.2547581727367032
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,14,0.3139174606491121
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,15,1.427600103232606
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,16,1.7093466050215862
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,17,1.678909303149974
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,18,0.8865156883979755
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,19,1.2765833222331058
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,20,0.6603538433257945
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,21,0.5469610308277527
,,com.deepsleep.sleep.soft.music.sounds,PULSEPOINT,22,0.3200653701481393
,,com.dirtybit.fra,RUBICON,20,0.03209881522578831
,,com.dirtybit.fra,RUBICON,21,0.0338900354171364
,,com.ea.game.tetris2011_na,PULSEPOINT,15,0.8248236363784327
,,com.ea.game.tetris2011_na,PULSEPOINT,16,1.2695263375923622
,,com.ea.game.tetris2011_na,PULSEPOINT,17,1.072315125745311
,,com.ea.game.tetris2011_na,PULSEPOINT,18,0.7488113866892754
,,com.ea.game.tetris2011_na,PULSEPOINT,19,0.7321035442520772
,,com.ea.game.tetris2011_na,PULSEPOINT,20,0.2838180285146067
,,com.ea.game.tetris2011_na,PULSEPOINT,21,0.4714274903317368
,,com.ea.game.tetris2011_na,RUBICON,17,0.6462834322029083
,,com.ea.game.tetris2011_na,RUBICON,18,0.25606247890348827
,,com.ea.game.tetris2011_na,RUBICON,19,0.5334863736603593
,,com.ea.game.tetris2011_na,RUBICON,20,0.26779650508025626
,,com.ea.game.tetris2011_na,RUBICON,21,0.1354914797968192
,,com.ea.gp.bej3,PULSEPOINT,15,0.4097290549243774
,,com.ea.gp.bej3,PULSEPOINT,16,0.565462318916366
,,com.ea.gp.bej3,PULSEPOINT,17,0.3774284576099369
,,com.ea.gp.bej3,PULSEPOINT,18,0.2337647122738263
,,com.ea.gp.bej3,PULSEPOINT,19,0.2645436979717368
,,com.ea.gp.bej3,PULSEPOINT,20,0.28375618473937464
,,com.ea.gp.bej3,PULSEPOINT,21,0.4064541039743416
,,com.ea.gp.bej3,PULSEPOINT,22,0.2635935808031019
,,com.easybrain.sudoku.android,PULSEPOINT,15,0.6622073389874455
,,com.easybrain.sudoku.android,PULSEPOINT,16,0.6354340415937234
,,com.easybrain.sudoku.android,PULSEPOINT,17,0.41025884609937785
,,com.easybrain.sudoku.android,PULSEPOINT,18,0.18703791114603954
,,com.easybrain.sudoku.android,PULSEPOINT,19,0.4252833132286098
,,com.easybrain.sudoku.android,PULSEPOINT,20,0.23096465112765957
,,com.easybrain.sudoku.android,PULSEPOINT,21,0.3632966820546806
,,com.easybrain.sudoku.android,PULSEPOINT,22,0.34554029561836486
,,com.easybrain.sudoku.android,RUBICON,13,0.3529813898075696
,,com.enflick.android.TextNow,RUBICON,15,0.9122280853240519
,,com.enflick.android.TextNow,RUBICON,16,1.0545665516154101
,,com.enflick.android.TextNow,RUBICON,17,0.7721178453819038
,,com.enflick.android.TextNow,RUBICON,18,0.5734375887075672
,,com.enflick.android.TextNow,RUBICON,19,0.6745231745982125
,,com.enflick.android.TextNow,RUBICON,20,0.794438203432508
,,com.enflick.android.TextNow,RUBICON,21,0.7408284926145863
,,com.enflick.android.TextNow,RUBICON,22,0.5017835496252926
,,com.enflick.android.textnow,PULSEPOINT,15,0.05355475034699385
,,com.enflick.android.textnow,PULSEPOINT,16,1.2085029363155124
,,com.enflick.android.textnow,PULSEPOINT,17,1.3363750879931795
,,com.enflick.android.textnow,PULSEPOINT,19,0.7187047616246458
,,com.enflick.android.textnow,PULSEPOINT,20,0.40409993298396857
,,com.enflick.android.textnow,PULSEPOINT,21,1.2630802387363047
,,com.enflick.android.textnow,PULSEPOINT,22,0.5526977724800667
,,com.etermax.trivia.preguntados2,OPENX,17,0.1042107491522319
,,com.etermax.trivia.preguntados2,PULSEPOINT,15,0.7000712688882785
,,com.etermax.trivia.preguntados2,PULSEPOINT,16,1.5047706449519265
,,com.etermax.trivia.preguntados2,PULSEPOINT,17,0.5512947556229056
,,com.etermax.trivia.preguntados2,PULSEPOINT,18,0.36839202725267267
,,com.etermax.trivia.preguntados2,PULSEPOINT,19,0.2299835237026751
,,com.etermax.trivia.preguntados2,PULSEPOINT,20,0.3813303205850021
,,com.etermax.trivia.preguntados2,PULSEPOINT,21,0.4092368424689778
,,com.europosit.pixelcoloring,GOOGLE_ADX,11,0.5675171999643676
,,com.europosit.pixelcoloring,GOOGLE_ADX,14,1.2068846606911232
,,com.europosit.pixelcoloring,GOOGLE_ADX,15,2.0829599142441535
,,com.europosit.pixelcoloring,GOOGLE_ADX,16,0.12488055979699011
,,com.europosit.pixelcoloring,GOOGLE_ADX,17,1.2286584928569795
,,com.europosit.pixelcoloring,GOOGLE_ADX,18,0.5440893206762877
,,com.europosit.pixelcoloring,GOOGLE_ADX,19,1.5677256201487044
,,com.europosit.pixelcoloring,GOOGLE_ADX,20,0.4076149781859604
,,com.europosit.pixelcoloring,GOOGLE_ADX,21,0.6604489527690192
,,com.europosit.pixelcoloring,OPENX,14,0.1320500816230687
,,com.europosit.pixelcoloring,OPENX,18,0.0253466588926127
,,com.europosit.pixelcoloring,OPENX,19,0.2359845173626678
,,com.europosit.pixelcoloring,OPENX,20,0.1698689925021829
,,com.europosit.pixelcoloring,PULSEPOINT,15,1.0396151235550357
,,com.europosit.pixelcoloring,PULSEPOINT,16,0.9227704876264475
,,com.europosit.pixelcoloring,PULSEPOINT,17,1.0479924432896248
,,com.europosit.pixelcoloring,PULSEPOINT,18,0.28217426250525074
,,com.europosit.pixelcoloring,PULSEPOINT,19,0.43109165697991264
,,com.europosit.pixelcoloring,PULSEPOINT,20,0.3333053892979649
,,com.europosit.pixelcoloring,PULSEPOINT,21,0.0348654768658541
,,com.europosit.pixelcoloring,RUBICON,17,0.06045804580654753
,,com.europosit.pixelcoloring,RUBICON,18,1.2336081754722563
,,com.europosit.pixelcoloring,RUBICON,19,0.043735358132660794
,,com.europosit.pixelcoloring,UNITY,11,0.08371290400998949
,,com.europosit.pixelcoloring,UNITY,12,0.09484121445265906
,,com.europosit.pixelcoloring,UNITY,14,0.20926565968147295
,,com.europosit.pixelcoloring,UNITY,15,0.21464216307845654
,,com.europosit.pixelcoloring,UNITY,16,0.2252868359280081
,,com.europosit.pixelcoloring,UNITY,17,0.16536200148456887
,,com.europosit.pixelcoloring,UNITY,18,0.07450461164083486
,,com.europosit.pixelcoloring,UNITY,19,0.07787786956586079
,,com.europosit.pixelcoloring,UNITY,20,0.06874744125152353
,,com.europosit.pixelcoloring,UNITY,21,0.11549790890178731
,,com.fiogonia.dominoes,GOOGLE_ADX,12,0.14230337480180802
,,com.fiogonia.dominoes,GOOGLE_ADX,13,0.6094981899517136
,,com.fiogonia.dominoes,GOOGLE_ADX,14,0.02764860222549866
,,com.fiogonia.dominoes,GOOGLE_ADX,15,0.8993742010611625
,,com.fiogonia.dominoes,GOOGLE_ADX,16,0.6948223751617744
,,com.fiogonia.dominoes,GOOGLE_ADX,17,0.29528733158367304
,,com.fiogonia.dominoes,GOOGLE_ADX,18,0.30054014942215806
,,com.fiogonia.dominoes,GOOGLE_ADX,19,0.18491381418997643
,,com.fiogonia.dominoes,GOOGLE_ADX,20,0.2079459585848872
,,com.fiogonia.dominoes,GOOGLE_ADX,21,0.3171428232593225
,,com.fiogonia.dominoes,OPENX,14,0.2111402379394946
,,com.fiogonia.dominoes,OPENX,15,0.2192186020299993
,,com.fiogonia.dominoes,OPENX,16,0.6101780078045604
,,com.fiogonia.dominoes,OPENX,17,0.08114064588204561
,,com.fiogonia.dominoes,OPENX,18,0.0953064907388692
,,com.fiogonia.dominoes,OPENX,19,0.21324896785541375
,,com.fiogonia.dominoes,OPENX,20,0.183234102604951
,,com.fiogonia.dominoes,OPENX,21,0.1167553788538035
,,com.fiogonia.dominoes,RUBICON,13,0.23680931109806666
,,com.fiogonia.dominoes,RUBICON,14,0.4624399963109919
,,com.fiogonia.dominoes,RUBICON,15,0.6600263100146314
,,com.fiogonia.dominoes,RUBICON,16,0.6747102130751522
,,com.fiogonia.dominoes,RUBICON,17,0.22881146995399437
,,com.fiogonia.dominoes,RUBICON,18,0.174026715968828
,,com.fiogonia.dominoes,RUBICON,19,0.15757609857866955
,,com.fiogonia.dominoes,RUBICON,20,0.14037338961650395
,,com.fiogonia.dominoes,RUBICON,21,0.11109537015378679
,,com.fiogonia.dominoes,UNITY,10,0.35408143881322107
,,com.fiogonia.dominoes,UNITY,11,0.1346079821411597
,,com.fiogonia.dominoes,UNITY,12,0.5580730103822689
,,com.fiogonia.dominoes,UNITY,13,0.27189023067708884
,,com.fiogonia.dominoes,UNITY,14,0.2862082684984978
,,com.fiogonia.dominoes,UNITY,15,0.44172853922290867
,,com.fiogonia.dominoes,UNITY,16,0.37483918920024273
,,com.fiogonia.dominoes,UNITY,17,0.23607058989545673
,,com.fiogonia.dominoes,UNITY,18,0.15564923203955097
,,com.fiogonia.dominoes,UNITY,19,0.1280389217660256
,,com.fiogonia.dominoes,UNITY,20,0.1549573667806436
,,com.fiogonia.dominoes,UNITY,21,0.16257021129812493
,,com.fiogonia.dominoes,UNITY,22,0.07566346024025847
,,com.fiogonia.spades,GOOGLE_ADX,13,0.7362572473827129
,,com.fiogonia.spades,GOOGLE_ADX,16,0.046599079825521375
,,com.fiogonia.spades,GOOGLE_ADX,18,0.29041453757199487
,,com.fiogonia.spades,GOOGLE_ADX,20,0.20633786584075337
,,com.fiogonia.spades,GOOGLE_ADX,21,1.0972665818904912
,,com.fiogonia.spades,OPENX,11,0.16332011143898975
,,com.fiogonia.spades,OPENX,14,0.2359390259948765
,,com.fiogonia.spades,OPENX,16,1.022602251462733
,,com.fiogonia.spades,OPENX,17,0.1505982798598404
,,com.fiogonia.spades,OPENX,18,0.02463133678661543
,,com.fiogonia.spades,OPENX,19,0.3544304734129404
,,com.fiogonia.spades,OPENX,20,0.17100694123803953
,,com.fiogonia.spades,OPENX,21,0.06847901012119169
,,com.fiogonia.spades,RUBICON,17,0.03614452464763565
,,com.fiogonia.spades,RUBICON,18,0.0346226534347735
,,com.fiogonia.spades,RUBICON,19,0.03153253448685037
,,com.fiogonia.spades,RUBICON,20,0.034510204431404415
,,com.fiogonia.spades,RUBICON,21,0.2467204734738081
,,com.fiogonia.yatzy,GOOGLE_ADX,16,0.048880376303134895
,,com.fiogonia.yatzy,GOOGLE_ADX,17,0.03229228953325215
,,com.fiogonia.yatzy,GOOGLE_ADX,19,0.1159251530149654
,,com.fiogonia.yatzy,GOOGLE_ADX,21,0.09687207647821285
,,com.fiogonia.yatzy,PULSEPOINT,15,1.223934072442097
,,com.fiogonia.yatzy,UNITY,13,0.4360820235645331
,,com.fiogonia.yatzy,UNITY,14,0.7408405598674307
,,com.fiogonia.yatzy,UNITY,15,1.0352338308949842
,,com.fiogonia.yatzy,UNITY,16,2.2335669715509123
,,com.fiogonia.yatzy,UNITY,18,0.25119477624060843
,,com.fiogonia.yatzy,UNITY,19,0.3621955583008093
,,com.firsttouchgames.dls3,OPENX,11,0.0707129515853419
,,com.firsttouchgames.dls3,OPENX,14,0.10620051331419776
,,com.firsttouchgames.dls3,UNITY,14,0.5521532581126054
,,com.firsttouchgames.dls3,UNITY,15,0.31250685751989354
,,com.firsttouchgames.dls3,UNITY,16,0.2658078261731358
,,com.firsttouchgames.dls3,UNITY,17,0.1728082845653475
,,com.firsttouchgames.dls3,UNITY,18,0.12148939440846601
,,com.firsttouchgames.dls3,UNITY,19,0.12069010552826326
,,com.firsttouchgames.dls3,UNITY,20,0.10752103341663176
,,com.firsttouchgames.dls3,UNITY,21,0.10752103341663176
,,com.fluffyfairygames.idleminertycoon,RUBICON,14,0.12118519012951179
,,com.fluffyfairygames.idleminertycoon,RUBICON,15,0.21390713023707797
,,com.fluffyfairygames.idleminertycoon,RUBICON,16,0.1411394357033527
,,com.fluffyfairygames.idleminertycoon,RUBICON,17,0.2598886518857559
,,com.fluffyfairygames.idleminertycoon,RUBICON,18,0.1502868588568685
,,com.fluffyfairygames.idleminertycoon,RUBICON,19,0.0817909722409633
,,com.fluffyfairygames.idleminertycoon,RUBICON,20,0.23952142709219595
,,com.fluffyfairygames.idleminertycoon,RUBICON,21,0.19339334198583327
,,com.fluffyfairygames.idleminertycoon,RUBICON,22,0.07608991480224331
,,com.freegame.solitaire.basic2,OPENX,17,0.04357436301353167
,,com.fungames.sniper3d,OPENX,14,0.18383028143810157
,,com.fungames.sniper3d,OPENX,15,0.41526356433894784
,,com.fungames.sniper3d,OPENX,17,0.033964070059630404
,,com.fungames.sniper3d,OPENX,20,0.18488288507960776
,,com.fungames.sniper3d,OPENX,21,0.1556905808053678
,,com.fungames.sniper3d,RUBICON,10,0.36549407249919064
,,com.fungames.sniper3d,RUBICON,11,0.23561514270178457
,,com.fungames.sniper3d,RUBICON,12,0.335119345786343
,,com.fungames.sniper3d,RUBICON,13,0.4179022403600363
,,com.fungames.sniper3d,RUBICON,14,0.48000790748913963
,,com.fungames.sniper3d,RUBICON,15,0.50494113110024
,,com.fungames.sniper3d,RUBICON,16,0.46054980922751115
,,com.fungames.sniper3d,RUBICON,17,0.25760735217258524
,,com.fungames.sniper3d,RUBICON,18,0.1448047246330503
,,com.fungames.sniper3d,RUBICON,19,0.1874015875834652
,,com.fungames.sniper3d,RUBICON,20,0.23488104939759824
,,com.fungames.sniper3d,RUBICON,21,0.23884849132556887
,,com.fungames.sniper3d,RUBICON,22,0.07182387505753764
,,com.fungames.sniper3d,UNITY,10,0.5612829861828661
,,com.fungames.sniper3d,UNITY,11,0.7554107672771206
,,com.fungames.sniper3d,UNITY,12,0.8415580567997842
,,com.fungames.sniper3d,UNITY,13,0.7288147983349341
,,com.fungames.sniper3d,UNITY,14,0.7276422291189417
,,com.fungames.sniper3d,UNITY,15,1.1858704155087483
,,com.fungames.sniper3d,UNITY,16,1.0268379601664468
,,com.fungames.sniper3d,UNITY,17,0.7045808751127658
,,com.fungames.sniper3d,UNITY,18,0.4058146975298689
,,com.fungames.sniper3d,UNITY,19,0.5007231548284887
,,com.fungames.sniper3d,UNITY,20,0.4035834215970764
,,com.fungames.sniper3d,UNITY,21,0.4062079435312681
,,com.glu.baseball18,OPENX,11,0.043860337044414936
,,com.glu.baseball18,OPENX,13,0.06193240646595513
,,com.glu.baseball18,OPENX,14,0.06191761890070187
,,com.glu.baseball18,OPENX,15,0.10374634943100206
,,com.glu.baseball18,OPENX,16,0.2183981618049194
,,com.glu.baseball18,OPENX,17,0.16427122592624188
,,com.glu.baseball18,OPENX,18,0.11250088432237454
,,com.glu.baseball18,OPENX,19,0.04436003250666177
,,com.glu.baseball18,OPENX,20,0.04534016011539772
,,com.glu.baseball18,OPENX,21,0.04661802055917036
,,com.glu.baseball18,OPENX,22,0.04534016011539772
,,com.gramgames.tenten,OPENX,14,0.24886669350489674
,,com.gramgames.tenten,PULSEPOINT,15,1.0770472953927452
,,com.gramgames.tenten,PULSEPOINT,16,1.0720384698303533
,,com.gramgames.tenten,PULSEPOINT,17,0.7838703357912464
,,com.gramgames.tenten,PULSEPOINT,18,0.6975166372583376
,,com.gramgames.tenten,PULSEPOINT,19,0.777769151815284
